[27, 22, 30, 44][0, 0, 0, 0]
[28, 22, 30, 44][0, 0, 0, 0]
[28, 22, 30, 44][0, 0, 0, 0]
[29, 22, 30, 44][0, 0, 0, 0]
[29, 22, 30, 44][0, 0, 0, 0]
[30, 22, 30, 44][0, 0, 0, 0]
[30, 22, 30, 44][0, 0, 0, 0]
[30, 22, 30, 45][0, 0, 0, 0]
[30, 22, 30, 45][0, 0, 0, 0]
[30, 22, 30, 46][0, 0, 0, 0]
[30, 22, 30, 46][0, 0, 0, 0]
[30, 23, 30, 46][0, 0, 0, 0]
[30, 23, 30, 46][0, 0, 0, 0]
[31, 23, 30, 46][0, 0, 0, 0]
[31, 23, 30, 46][0, 0, 0, 0]
[31, 23, 30, 47][0, 0, 0, 0]
[31, 23, 30, 47][0, 0, 0, 0]
[31, 24, 30, 47][0, 0, 0, 0]
[31, 24, 30, 47][0, 0, 0, 0]
[31, 24, 31, 47][0, 0, 0, 0]
[31, 24, 31, 47][0, 0, 0, 0]
[31, 25, 31, 47][0, 0, 0, 0]
[31, 25, 31, 47][0, 0, 0, 0]
[31, 25, 32, 47][0, 0, 0, 0]
[31, 25, 32, 47][0, 0, 0, 0]
[32, 25, 32, 47][0, 0, 0, 0]
[32, 25, 32, 47][0, 0, 0, 0]
[32, 25, 33, 47][0, 0, 0, 0]
[32, 25, 33, 47][0, 0, 0, 0]
[32, 25, 34, 47][0, 0, 0, 0]
[32, 25, 34, 47][0, 0, 0, 0]
[33, 25, 34, 47][0, 0, 0, 0]
[33, 25, 34, 47][0, 0, 0, 0]
[33, 25, 35, 47][0, 0, 0, 0]
[33, 25, 35, 47][0, 0, 0, 0]
[33, 26, 35, 47][0, 0, 0, 0]
[33, 26, 35, 47][0, 0, 0, 0]
[33, 26, 36, 47][0, 0, 0, 0]
[33, 26, 36, 47][0, 0, 0, 0]
[33, 26, 37, 47][0, 0, 0, 0]
[33, 26, 37, 47][0, 0, 0, 0]
